"bandName","showDate","capacity","attendance","city","phone"
"The Interrupters (MH)","2024-05-08",7083,0,"Reading","(610) 898-7469"
"The Interrupters (MH)","2024-05-09",5500,0,"Raleigh","704-200-5450"
"The Interrupters (MH)","2024-05-11",3880,0,"Atlanta","770-722-0831"
"The Interrupters (MH)","2024-05-14",2362,0,"Nashville","(615)889-3060"
"The Interrupters (MH)","2024-05-15",5000,0,"Charlotte","704-200-5450"
"The Interrupters (MH)","2024-05-18",0,0,"Philadelphia",
"The Interrupters (MH)","2024-05-19",6053,0,"Norfolk",
"Toto (MH)","2024-04-09",530,453,"Beaver Creek","(970) 845-8497"
"Toto (MH)","2024-04-11",1850,1974,"Tulsa","(918) 995-8518"
"Toto (MH)","2024-04-12",1260,1184,"Salina",""
"Toto (MH)","2024-04-14",1550,1593,"Prior Lake","(952) 445-9000"
"Toto (MH)","2024-04-15",8200,8494,"Omaha",""
"Toto (MH)","2024-04-16",7000,6783,"Peoria","(309) 673-8900"
"Train","2024-04-26",3500,0,"Manchester","44 161 273 6921"
"Train","2024-04-27",0,0,"Wolverhampton",
"Train","2024-04-28",0,0,"Glasgow",""
"Train","2024-04-30",3210,0,"London","+44 20 7589 8212"
"Train","2024-05-02",2000,0,"Brussels","32 2 218 20 15"
"Train","2024-05-03",2200,0,"Tilburg, North Brabant","+31 13 460 9500"
"Train","2024-05-04",0,0,"Hamburg",""
"Train","2024-05-05",0,0,"sonderborg",
"Train","2024-07-08",20000,0,"Somerset",""
"Train","2024-07-10",24000,0,"Noblesville",""
"Train","2024-07-11",2400,0,"Pittsburgh","(412)229-5483"
"Train","2024-07-12",16000,0,"Cincinnati","(513) 232-6220"
"Train","2024-07-13",26000,0,"Chicago",""
"Train","2024-07-15",20000,0,"Cuyahoga Falls",""
"Train","2024-07-16",20000,0,"Maryland Heights","(314) 298-9944"
"Train","2024-07-17",7800,0,"Kansas City","(816) 363-7827"
"Train","2024-07-19",20000,0,"Lewiston","(716) 754-9000"
"Train","2024-07-20",16400,0,"Toronto","4162605700 EXT37831"
"Train","2024-07-21",14000,0,"Detroit","313-471-7000"
"Train","2024-07-23",25103,0,"Saratoga Springs","5182696000"
"Train","2024-07-24",15000,0,"Bethel","(866) 781-2922"
"Train","2024-07-26",25000,0,"Camden",""
"Train","2024-07-27",15000,0,"Wantagh",""
"Train","2024-07-28",9600,0,"Gilford","6032794700"
"Train","2024-07-31",17000,0,"Syracuse","(315) 435-5100"
"Train","2024-08-01",18000,0,"Holmdel","301-442-6866"
"Train","2024-08-03",21000,0,"Hartford",""
"Train","2024-08-04",20000,0,"Mansfield","15088646974"
"Train","2024-08-06",25000,0,"Bristow",""
"Train","2024-08-07",20000,0,"Virginia Beach","(757) 368-3000"
"Train","2024-08-09",19000,0,"Raleigh","704-200-5450"
"Train","2024-08-10",18500,0,"Charlotte","704-200-5450"
"Train","2024-08-11",7000,0,"Wilmington","843-934-7947"
"Train","2024-08-16",10000,0,"Pelham","(615) 613-4389"
"Train","2024-08-17",12000,0,"Alpharetta","404-644-0921"
"Train","2024-08-18",0,0,"Franklin",
"Train","2024-08-20",20000,0,"Tampa","813-389-3145"
"Train","2024-08-21",8500,0,"West Palm Beach","954-599-9033"
"Train","2024-08-22",5500,0,"Jacksonville","(904) 633-6544"
"Train","2024-08-23",10000,0,"Orange Beach","(251) 224-1020"
"Train","2024-08-25",0,0,"The Woodlands",""
"Train","2024-08-26",0,0,"Dallas",""
"Train","2024-08-28",17250,0,"Englewood",""
"Tyler Childers (MH)","2024-04-08",3500,0,"Thackerville"," (580) 276-4229"
"Tyler Childers (MH)","2024-04-04",10945,7861,"San Diego","(619) 594-7315"
"Tyler Childers (MH)","2024-04-05",12000,12118,"Inglewood","909-215-4527"
"Tyler Childers (MH)","2024-04-09",19224,11367,"Tulsa","(918) 894-4200"
"Tyler Childers (MH)","2024-04-10",15000,11429,"Auston",
"Tyler Childers (MH)","2024-04-13",12000,10673,"Fort Worth","8179468508"
"Tyler Childers (MH)","2024-04-15",17654,10730,"Birmingham","(205) 458-8400"
"Tyler Childers (MH)","2024-04-16",21678,13907,"Knoxville","(865) 974-0953"
"Tyler Childers (MH)","2024-04-18",40000,24985,"Nashville","(615) 770-2000"
"Tyler Childers (MH)","2024-04-20",3500,0,"Thackerville"," (580) 276-4229"
"WILLIE'S RESERVE (MH)","2024-04-17",0,9000,"Lubbock",
"WILLIE'S RESERVE (MH)","2024-04-19",4950,3501,"Mesa","(480) 644-2178"
"WILLIE'S RESERVE (MH)","2024-04-20",1830,3700,"Laughlin","702-298-4600"
"WILLIE'S RESERVE (MH)","2024-04-22",3402,5537,"San Diego",
"WILLIE'S RESERVE (MH)","2024-04-24",8500,7300,"Berkeley","(707) 280-5516"
"WILLIE'S RESERVE (MH)","2024-04-25",4562,0,"Santa Barbara","(805) 962-7411"
"WILLIE'S RESERVE (MH)","2024-04-26",85000,0,"Indio","(760) 342-2762"
"WILLIE'S RESERVE (MH)","2024-04-27",60000,0,"Indio",""
"WILLIE'S RESERVE (MH)","2024-05-10",6000,0,"New Braunfels",""
"WILLIE'S RESERVE (MH)","2024-05-11",6000,0,"New Braunfels",""
"WILLIE'S RESERVE (MH)","2024-05-14",0,0,"El Reno",
"WILLIE'S RESERVE (MH)","2024-05-15",5500,0,"Lincoln","(402) 540-2094"
"WILLIE'S RESERVE (MH)","2024-05-17",0,0,"Madison",""
"WILLIE'S RESERVE (MH)","2024-05-18",19000,0,"Milwaukee","(414)227-0400"
"WILLIE'S RESERVE (MH)","2024-05-20",0,0,"Moorhead",
"WILLIE'S RESERVE (MH)","2024-05-21",0,0,"Moorhead",
"WILLIE'S RESERVE (MH)","2024-05-23",0,0,"Duluth",""
"WILLIE'S RESERVE (MH)","2024-05-25",0,0,"Des Moines",
"WILLIE'S RESERVE (MH)","2024-05-26",0,0,"Camdenton",
"WILLIE'S RESERVE (MH)","2024-06-21",12000,0,"Alpharetta","404-644-0921"
"WILLIE'S RESERVE (MH)","2024-06-22",18500,0,"Charlotte","704-200-5450"
"WILLIE'S RESERVE (MH)","2024-06-23",20601,0,"Raleigh","(919) 831-6400"
"WILLIE'S RESERVE (MH)","2024-06-26",20000,0,"Virginia Beach","(757) 368-3000"
"WILLIE'S RESERVE (MH)","2024-06-28",0,0,"Syracuse",
"WILLIE'S RESERVE (MH)","2024-06-29",15000,0,"Wantagh",""
"WILLIE'S RESERVE (MH)","2024-06-30",18000,0,"Holmdel","301-442-6866"
"WILLIE'S RESERVE (MH)","2024-07-02",20000,0,"Mansfield","15088646974"
"WILLIE'S RESERVE (MH)","2024-07-04",25000,0,"Camden",""
"WILLIE'S RESERVE (MH)","2024-07-06",15000,0,"Bethel","(866) 781-2922"
"WILLIE'S RESERVE (MH)","2024-07-07",0,0,"Hershey",
"WILLIE'S RESERVE (MH)","2024-07-27",0,0,"Seattle",
"WILLIE'S RESERVE (MH)","2024-07-29",21500,0,"Chula Vista",""
"WILLIE'S RESERVE (MH)","2024-07-31",17500,0,"Los Angeles",""
"WILLIE'S RESERVE (MH)","2024-08-03",22000,0,"Mountain View",""
"WILLIE'S RESERVE (MH)","2024-08-04",18500,0,"Wheatland",""
"WILLIE'S RESERVE (MH)","2024-08-07",36000,0,"Nampa","208442204"
"WILLIE'S RESERVE (MH)","2024-08-09",0,0,"Spokane",
"WILLIE'S RESERVE (MH)","2024-08-10",23000,0,"Quincy","(509) 785-6262 "
"WILLIE'S RESERVE (MH)","2024-09-06",20000,0,"Somerset",""
"WILLIE'S RESERVE (MH)","2024-09-07",26000,0,"Chicago",""
"WILLIE'S RESERVE (MH)","2024-09-08",18000,0,"Maryland Heights","636-866-1045"
"WILLIE'S RESERVE (MH)","2024-09-11",16000,0,"Cincinnati","(513) 232-6220"
"WILLIE'S RESERVE (MH)","2024-09-12",20000,0,"Cuyahoga Falls",""
"WILLIE'S RESERVE (MH)","2024-09-14",23000,0,"Burgettstown",""
"WILLIE'S RESERVE (MH)","2024-09-15",0,0,"Village of Clarkston",
"WILLIE'S RESERVE (MH)","2024-09-17",21000,0,"Darien Center","716-465-8301"
"Weezer (MH)","2024-06-07",15000,0,"BIRMINGHAM",
"Weezer (MH)","2024-06-08",0,0,"London",""
"Weezer (MH)","2024-06-10",0,0,"Dublin",""
"Weezer (MH)","2024-06-12",0,0,"Glasgow",
"Weezer (MH)","2024-06-13",23500,0,"Manchester",
"Weezer (MH)","2024-06-14",0,0,"Cardiff",
"Weezer (MH)","2024-05-04",40000,0,"Atlanta",""
"Weezer (MH)","2024-05-11",0,0,"San Diego",
"Weezer (MH)","2024-09-04",18568,0,"Saint Paul","(651) 265-4900"
"Weezer (MH)","2024-09-06",17500,0,"Rosemont","(847) 635-6601"
"Weezer (MH)","2024-09-07",0,0,"Columbus",""
"Weezer (MH)","2024-09-08",14770,0,"Toronto","(416) 815-5500"
"Weezer (MH)","2024-09-10",0,0,"Boston","857-272-6973"
"Weezer (MH)","2024-09-11",13595,0,"New York City","212.465.6741"
"Weezer (MH)","2024-09-13",19500,0,"Philadelphia","(215) 906-9932"
"Weezer (MH)","2024-09-14",3000,0,"Washington","202-888-0020"
"Weezer (MH)","2024-09-17",20000,0,"Nashville","(615) 770-2000"
"Weezer (MH)","2024-09-18",11000,0,"Greenville",""
"Weezer (MH)","2024-09-20",20000,0,"Orlando","(407) 440-7900"
"Weezer (MH)","2024-09-21",5500,0,"Hollywood","(954) 327-7625"
"Weezer (MH)","2024-09-27",15000,0,"Auston",
"Weezer (MH)","2024-09-28",18043,0,"Houston","(713)758-7200"
"Weezer (MH)","2024-09-29",21000,0,"Dallas","(214) 222-3687"
"Weezer (MH)","2024-10-01",7200,0,"Loveland",
"Weezer (MH)","2024-10-04",17459,0,"Seattle","2069400343"
"Weezer (MH)","2024-10-05",18000,0,"Vancouver","(604) 899-7400"
"Weezer (MH)","2024-10-06",19980,0,"Portland",""
"Weezer (MH)","2024-10-08",0,0,"Sacramento",""
"Weezer (MH)","2024-10-09",12300,0,"San Francisco",
"Weezer (MH)","2024-10-11",0,0,"Inglewood",
"Yellowcard (MH)","2024-06-02",20000,0,"Kansas City","402.359.1010"
"Yellowcard (MH)","2024-06-08",0,0,"Airway Heights","509-863-3215"
"Yellowcard (MH)","2024-06-09",12000,0,"Nampa","208442204"
"Yellowcard (MH)","2024-06-13",7000,0,"Seattle","(206) 295-4298"
"Yellowcard (MH)","2024-06-14",8000,0,"Bend",""
"Yellowcard (MH)","2024-06-15",22000,0,"Mountain View",""
"Yellowcard (MH)","2024-06-20",11200,0,"Los Angeles",""
"Yellowcard (MH)","2024-06-21",21500,0,"Chula Vista",""
"Yellowcard (MH)","2024-06-22",0,0,"Las Vegas",
"Yellowcard (MH)","2024-06-25",20000,0,"Salt Lake City","(801) 417-5343"
"Yellowcard (MH)","2024-06-26",9545,0,"Morrison",""
"Yellowcard (MH)","2024-06-28",9000,0,"Chicago",""
"Yellowcard (MH)","2024-06-29",20000,0,"Maryland Heights","(314) 298-9944"
"Yellowcard (MH)","2024-06-30",7500,0,"Franklin","(615) 613-4389"
"Yellowcard (MH)","2024-07-02",16000,0,"Cincinnati","(513) 232-6220"
"Yellowcard (MH)","2024-07-03",24000,0,"Darien Center","(585) 599-4641"
"Yellowcard (MH)","2024-07-05",20000,0,"Cuyahoga Falls",""
"Yellowcard (MH)","2024-07-06",24000,0,"Noblesville",""
"Yellowcard (MH)","2024-07-07",14000,0,"Village of Clarkston",
"Yellowcard (MH)","2024-07-09",23000,0,"Burgettstown",""
"Yellowcard (MH)","2024-07-11",7849,0,"Gilford","(603) 293-4700"
"Yellowcard (MH)","2024-07-12",25000,0,"Camden",""
"Yellowcard (MH)","2024-07-13",20000,0,"Mansfield","15088646974"
"Yellowcard (MH)","2024-07-14",18000,0,"Holmdel","301-442-6866"
"Yellowcard (MH)","2024-07-16",25103,0,"Saratoga Springs","5182696000"
"Yellowcard (MH)","2024-07-18",15000,0,"Wantagh",""
"Yellowcard (MH)","2024-07-19",24000,0,"Columbia","(410) 715-5550"
"Yellowcard (MH)","2024-07-20",21000,0,"Virginia Beach",""
"Yellowcard (MH)","2024-07-21",19000,0,"Raleigh","704-200-5450"
"Yellowcard (MH)","2024-07-23",18500,0,"Charlotte","704-200-5450"
"Yellowcard (MH)","2024-07-25",20000,0,"Tampa","813-389-3145"
"Yellowcard (MH)","2024-07-26",15000,0,"Jacksonville",
"Yellowcard (MH)","2024-07-27",12000,0,"Alpharetta","404-644-0921"
"Yellowcard (MH)","2024-07-28",10000,0,"Pelham","(615) 613-4389"
"Yellowcard (MH)","2024-07-31",7000,0,"Rogers",""
"Zac Brown Band (MH)","2024-04-06",10600,4511,"Saint Louis"," (314) 977-5000"
"Zac Brown Band (MH)","2024-04-20",0,60529,"Tampa",""
"Zac Brown Band (MH)","2024-04-27",0,0,"Charlotte",""
"Zac Brown Band (MH)","2024-05-04",0,0,"Minneapolis",""
"Zac Brown Band (MH)","2024-05-11",45000,0,"Arlington","817-946-8508"
"Zac Brown Band (MH)","2024-05-18",63000,0,"Atlanta","470.341.5000"
"Zac Brown Band (MH)","2024-05-25",91704,0,"Landover","(301) 276-6000"
"Zac Brown Band (MH)","2024-05-26",11000,0,"Norfolk","(757) 664-6464"
"Zac Brown Band (MH)","2024-06-01",0,0,"Pittsburgh",""
"Zac Brown Band (MH)","2024-06-02",15000,0,"Canandaigua","(585) 758-5300"
"Zac Brown Band (MH)","2024-06-08",55000,0,"Philadelphia","215 463-2500"
"Zac Brown Band (MH)","2024-06-15",0,0,"Chicago","312-235-7000"
"Zac Brown Band (MH)","2024-06-22",0,0,"Milwaukee","414-902-4400"
"Zach Top (MH)","2024-04-04",500,438,"Nashville","(615) 321-4718"
"Zach Top (MH)","2024-04-05",0,800,"Anderson","8642247000"
"Zach Top (MH)","2024-04-06",0,584,"Chattanooga",
"Zach Top (MH)","2024-04-12",2000,1578,"Birmingham","205-757-8330"
"Zach Top (MH)","2024-04-13",0,381,"Shreveport",
"Zach Top (MH)","2024-04-18",0,357,"San Antonio",""
"Zach Top (MH)","2024-04-19",225,0,"San Angelo","325-653-7074"
"Zach Top (MH)","2024-04-20",0,0,"Georgetown",
"Zach Top (MH)","2024-04-21",350,0,"Saratoga","(408) 741-2822"
"Zach Top (MH)","2024-04-25",0,0,"Bakersfield",""
"Zach Top (MH)","2024-04-26",60000,0,"Indio",""
"Zach Top (MH)","2024-04-28",0,0,"Bishop",
"Zach Top (MH)","2024-05-01",0,0,"Ashland",""
"Zach Top (MH)","2024-05-09",0,0,"Kansas City",""
